study_accession;first_public;study_title;project_name;run_accession;sample_accession;sample_title;sample_description;library_name;library_selection;library_source;library_strategy;library_construction_protocol;library_layout;rna_integrity_num;instrument_platform;rt_prep_protocol;cell_line;cell_type;tissue_lib;tissue_type;host_phenotype;isolate;age;host_body_site;description;note;origin;Gtex;;
PRJNA318642;11/08/2016;Transcriptome profiling of the human dorsal striatum in bipolar disorder;Homo sapiens;SRR3393511;SAMN04859294;bipolar-5;bipolar-5;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Frozen postmortem dorsal striatum samples were transferred to RNAlater-ICE (Ambion) and stored at -20C upon receipt. Total RNA was extracted from dissected caudate-putamen tissue by Trizol (Life Technologies), column-purified by the RNeasy Lipid Tissue Kit (Qiagen) and treated with the Turbo DNA-free Kit (Life Technologies). RNA samples were assayed on the BioAnalyzer (Agilent, Santa Clara, CA) to obtain RNA integrity number (RIN) values. Ribosomal RNA (rRNA) was depleted from samples using the RiboMinus Eukaryote Kit v2 (Life Technologies). Strand-specific cDNA libraries were made using the Next Ultra Directional RNA Library Prep Kit (NEB) and sequenced on the Illumina HiSeq2000.;SINGLE;;ILLUMINA;;;;;;;;;;Illumina HiSeq 2000 sequencing: GSM2124757: bipolar-5 Homo sapiens RNA-Seq;;postmortem;Brain - Dorsal Striatum;;
PRJNA939148;10/07/2023;Transcriptomes of human primary skin fibroblasts reveal age-associated mRNAs and long noncoding RNAs;Transcriptomes of human primary skin fibroblasts reveal age-associated mRNAs and long noncoding RNAs;SRR23630240;SAMN33458043;SKIN_AGE61_F_GR3_Gt102;SKIN_AGE61_F_GR3_Gt102;GSM7067616;cDNA;TRANSCRIPTOMIC;RNA-Seq;After expansion, total RNA was isolated using the Direct-zolTM RNA MiniPrep kit (Zymo Research) following the manufacturer's instruction. Ribo-RNA depletion with Low Input RiboMinus Eukaryote System v2 (Thermo Fisher Scientific). Ribo-RNA-depleted samples were then used for cDNA synthesis with Ovation® RNA-Seq System V2 (Nugen) following the manufacturer's protocol. Following cDNA fragmentation and size selection, libraries were prepared using Illumina TruSeq ChIP Library Preparation Kit (Illumina) according to manufacturer's protocol.;PAIRED;;ILLUMINA;;;primary skin fibroblasts;;;;;;;Illumina NovaSeq 6000 sequencing: GSM7067616: SKIN_AGE61_F_GR3_Gt102 Homo sapiens RNA-Seq;;;Cells - Cultured fibroblasts;;
PRJNA324260;18/10/2016;Human liver RNA-seq data corresponding to uninfected non-malignant, HCV infected non-malignant, and HCV+ HCC tissue;Homo sapiens;SRR3621806;SAMN05199336;L10-09-Control_RNA-seq;L10-09-Control_RNA-seq;;cDNA;TRANSCRIPTOMIC;RNA-Seq;We extracted total RNA from homogenized liver samples with 0.2 ml of chloroform and 1 ml of TRIZOL Reagent. After precipitation and washing, the RNA was dissolved in RNase-free water and given DNase treatment. DNase-treated, rRNA-depleted (Ribozero, Epicentre) RNA was used as a template for SuperScript III first-strand cDNA synthesis (Invitrogen), using oligo-dT as well as random hexamers. Actinomycin D was added to the reaction to prevent any possible amplification from contaminating genomic DNA. During second-strand synthesis, a dU/VTP mix was used to create directional libraries. cDNA samples were fragmented with Covaris to 300-bp fragments. The samples were then end-filled, 3 terminal A extended and ligated to preannealed TruSeq-indexed Illumina adapters. Uracil-DNAglycosylase UDG) treatment preceded the PCR reaction to amplify exclusively the originally oriented transcripts. Libraries were amplified using P5 and P7 Illumina primers and gel-extracted for size selection and primer-dimer removal. Before sequencing, libraries were tested using the BioAnalyzer to assure library quality, in terms of size and primer-dimer depletion. Indexed libraries were multiplexed for 100-bp single-end sequencing on the Illumina HiSeq 2000 platform.;SINGLE;;ILLUMINA;;;;;liver;;;;;Illumina HiSeq 2000 sequencing: GSM2185684: L10-09-Control_RNA-seq Homo sapiens RNA-Seq;;;Liver;;
PRJNA342787;06/10/2016;Transcriptional profiling of Myotonic dystrophy muscle and heart;Homo sapiens;SRR4240819;SAMN05768093;Tibialis_Control_6;Tibialis_Control_6;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Frozen tissue samples were lysed using a homogenizer in Trizol. Chloroform was added and mixed, and the aqueous layer was added to isopropanol to precipitate RNA. The RNA was then cleaned up on RNeasy columns (Qiagen) with on column DNase treatment. Strand-specific libraries (using dUTP incorporation during reverse transcription, and USER treatment prior to PCR) were prepared using standard protocols. RNA was first fragmented, and then ribosomal RNA was subtracted using ribo-zero beads from Epicentre Biotechnologies. Reverse transcription was performed using random primers, followed by 2nd strand cDNA synthesis, end repair, adenylation, and ligation of adapters. Products were run on agarose, size selected, and then subjected to 14-18 cycles of PCR.;PAIRED;;ILLUMINA;;;;;Tibialis anterior muscle;;;;;Illumina HiSeq 2000 sequencing: GSM2309592: Tibialis_Control_6 Homo sapiens RNA-Seq;;;Muscle - Skeletal;;
PRJNA765370;27/11/2021;RNA-seq of HPV-negative Oral Squamous Cell Carcinoma Patients;RNA-seq of HPV-negative Oral Squamous Cell Carcinoma Patients;SRR16013087;SAMN21555517;OSCC_14-N;OSCC_14-N;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Nucleic acids were extracted fresh frozen OSCC tissue and matched normal (oral mucosa) using the Qiagen AllPrep Kit (Qiagen, Germantown, Maryland, USA) in accordance with the manufacturer's instructions with purification of DNA and RNA from the same sample. TruSeq Stranded Total RNA with Ribo-Zero Gold (Human, Mouse, Rat) ribosomal depletion;PAIRED;;ILLUMINA;;;;;oral mucosa;;;;;Illumina NovaSeq 6000 sequencing: GSM5593773: OSCC_14-N Homo sapiens RNA-Seq;;tumor-adjacent;Mouth - Mucosa;;
PRJNA901461;02/02/2023;COVID-19 patient samples collected by the PREDICT-19 consortium;COVID-19 patient samples collected by the PREDICT-19 consortium;SRR22283229;SAMN31714277;Whole blood, healthy control, rep 8;Whole blood, healthy control, rep 8;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Total RNA was isolated from whole blood samples stored and stabilized in PAXgene RNA tubes according to the manufacturer's guidelines (PreAnalytiX) Libraries were prepared with 300ng of total RNA per sample using the Illumina Stranded Total RNA Prep with Ribo-Zero Plus (RZP) as per manufacturer instructions (Illumina, CA, USA).;PAIRED;;ILLUMINA;;;;;Whole blood;;;;;Illumina NovaSeq 6000 sequencing: GSM7507856: Whole blood, COVID positive, rep 393 Homo sapiens RNA-Seq;;;Blood - Whole Blood;;
PRJNA997353;22/12/2023;Race-specific coregulatory and transcriptomic profiles associated with DNA methylation and androgen receptor in prostate cancer [RNA-Seq];Race-specific coregulatory and transcriptomic profiles associated with DNA methylation and androgen receptor in prostate cancer [RNA-Seq];SRR25387948;SAMN36678740;PT-00197815_NT_EA;PT-00197815_NT_EA;GSM7657538;cDNA;TRANSCRIPTOMIC;RNA-Seq;Illumina TruSeq Stranded Total RNA Library Prep Kit with Ribo-Zero Gol RNA libraries were prepared for sequencing using standard Illumina protocols;PAIRED;;ILLUMINA;;;;;prostate;;;;;Illumina HiSeq 2500 sequencing: GSM7657538: PT-00197815_NT_EA Homo sapiens RNA-Seq;;tumor-adjacent;Prostate;;
PRJNA938006;19/03/2023;Dexamethasone effect on gene expression in human pancreatic islets and human pancreatic EndoC-ßH1 cells;Dexamethasone effect on gene expression in human pancreatic islets and human pancreatic EndoC-βH1 cells;SRR23596851;SAMN33422431;Human Islet, Control, donor 3;Human Islet, Control, donor 3;GSM7060174;cDNA;TRANSCRIPTOMIC;RNA-Seq;Total RNA was extracted using the Qiagen miRNeasy isolation kit. RNA concentration and quality was determined using 2μL on a NanoDrop Spectro-photometer RNA-seq libraries were prepared using the TruSeq Stranded Total RNA Library Prep with Ribo-Zero kit (#RS-122-2201, Illumina, CA, USA). Samples were loaded and sequenced using the Nextseq 500/550 High Output kit v2 (#FC-404-2002, Illumina, CA, USA) on an Illumina NextSeq 500 sequencer;PAIRED;;ILLUMINA;;;;;Human pancreatic islets;;;;;NextSeq 500 sequencing: GSM7060174: Human Islet, Control, donor 3 Homo sapiens RNA-Seq;;;Pancreas - Islet of Langherans;;
PRJNA975585;08/09/2023;Whole genome transcriptomics of upper extremity veins from end-stage kidney disease patients and non-kidney disease organ donors;Whole genome transcriptomics of upper extremity veins from end-stage kidney disease patients and non-kidney disease organ donors;SRR24709854;SAMN35340236;S042,Basilic vein,Healthy,NA;S042,Basilic vein,Healthy,NA;GSM7418759;cDNA;TRANSCRIPTOMIC;RNA-Seq;RNAlater-preserved samples were ground in liquid nitrogen and isolated with Trizol (Thermo Fisher Scientific) followed by column purification (EZNA Total RNA Kit I, Omega Bio-tek). 500 ng of total RNA was used as input for the Illumina TruSeq Stranded Total RNA Library Prep Kit with Ribo-Zero to generate ribosomal RNA-depleted sequencing libraries. Each sample had a unique barcode to allow multiplexing, and was sequenced to >40 million raw reads in a single end 75 bp sequencing run on the Illumina NextSeq500.;SINGLE;;ILLUMINA;;;;;Basilic vein;;;;;NextSeq 500 sequencing: GSM7418759: S042,Basilic vein,Healthy,NA Homo sapiens RNA-Seq;;;Blood Vessel;;
PRJNA939148;10/07/2023;Transcriptomes of human primary skin fibroblasts reveal age-associated mRNAs and long noncoding RNAs;Transcriptomes of human primary skin fibroblasts reveal age-associated mRNAs and long noncoding RNAs;SRR23630178;SAMN33458015;SKIN_AGE83_M_GR5_Gt026;SKIN_AGE83_M_GR5_Gt026;GSM7067644;cDNA;TRANSCRIPTOMIC;RNA-Seq;After expansion, total RNA was isolated using the Direct-zolTM RNA MiniPrep kit (Zymo Research) following the manufacturer's instruction. Ribo-RNA depletion with Low Input RiboMinus Eukaryote System v2 (Thermo Fisher Scientific). Ribo-RNA-depleted samples were then used for cDNA synthesis with Ovation® RNA-Seq System V2 (Nugen) following the manufacturer's protocol. Following cDNA fragmentation and size selection, libraries were prepared using Illumina TruSeq ChIP Library Preparation Kit (Illumina) according to manufacturer's protocol.;PAIRED;;ILLUMINA;;;primary skin fibroblasts;;;;;;;Illumina NovaSeq 6000 sequencing: GSM7067644: SKIN_AGE83_M_GR5_Gt026 Homo sapiens RNA-Seq;;;Cells - Cultured fibroblasts;;
PRJNA209081;15/04/2014;RNA-seq identifies novel transcript elements and transcript processing in the normal and failing hearts;Homo sapiens;SRR915764;SAMN02209927;control rep1;control rep1;;cDNA;TRANSCRIPTOMIC;RNA-Seq;RNA was extracted with Trizol (Invitrogen) and further purified on RNeasy columns (Qiagen) with on column DNase digestion. Ribosomal RNA was depleted using the RiboMinus kit (Invitrogen). 1 µg rRNA-depleted RNA was used for the construction of sequencing libraries Illumina RNA-seq libraries were prepared from rRNA-depleted samples using the standard Illumina protocol. SOLiD RNA-seq libraries were prepared from a pool of all of 15 ICM samples and a pool of all of 15 Ctrl samples using the standard SOLiD strand-specific library protocol.;PAIRED;;ILLUMINA;;;;;heart;;;;;Illumina Genome Analyzer II sequencing: GSM1171552: control rep4 Homo sapiens RNA-Seq;;;Heart;;
PRJNA939148;10/07/2023;Transcriptomes of human primary skin fibroblasts reveal age-associated mRNAs and long noncoding RNAs;Transcriptomes of human primary skin fibroblasts reveal age-associated mRNAs and long noncoding RNAs;SRR23630246;SAMN33458081;SKIN_AGE31_F_GR1_Gt090;SKIN_AGE31_F_GR1_Gt090;GSM7067578;cDNA;TRANSCRIPTOMIC;RNA-Seq;After expansion, total RNA was isolated using the Direct-zolTM RNA MiniPrep kit (Zymo Research) following the manufacturer's instruction. Ribo-RNA depletion with Low Input RiboMinus Eukaryote System v2 (Thermo Fisher Scientific). Ribo-RNA-depleted samples were then used for cDNA synthesis with Ovation® RNA-Seq System V2 (Nugen) following the manufacturer's protocol. Following cDNA fragmentation and size selection, libraries were prepared using Illumina TruSeq ChIP Library Preparation Kit (Illumina) according to manufacturer's protocol.;PAIRED;;ILLUMINA;;;primary skin fibroblasts;;;;;;;Illumina NovaSeq 6000 sequencing: GSM7067578: SKIN_AGE31_F_GR1_Gt090 Homo sapiens RNA-Seq;;;Cells - Cultured fibroblasts;;
PRJNA997353;22/12/2023;Race-specific coregulatory and transcriptomic profiles associated with DNA methylation and androgen receptor in prostate cancer [RNA-Seq];Race-specific coregulatory and transcriptomic profiles associated with DNA methylation and androgen receptor in prostate cancer [RNA-Seq];SRR25387882;SAMN36678767;PT-00177543_NT_EA;PT-00177543_NT_EA;GSM7657511;cDNA;TRANSCRIPTOMIC;RNA-Seq;Illumina TruSeq Stranded Total RNA Library Prep Kit with Ribo-Zero Gol RNA libraries were prepared for sequencing using standard Illumina protocols;PAIRED;;ILLUMINA;;;;;prostate;;;;;Illumina HiSeq 2500 sequencing: GSM7657511: PT-00177543_NT_EA Homo sapiens RNA-Seq;;tumor-adjacent;Prostate;;
PRJNA742971;12/11/2022;A resource for integrated genomic analysis of the human liver;A resource for integrated genomic analysis of the human liver;SRR15013575;SAMN19988401;SJLB359;SJLB359;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Total RNA was extracted from tissue homogenized in TRIzol reagent, followed by Qiagen RNAeasy cleanup mRNA libraries were prepared using the Illuminia TruSeq Stranded Total RNA with Ribo-Zero protocol;PAIRED;;ILLUMINA;;;;;liver;;;;;Illumina HiSeq 2000 sequencing: GSM5412210: SJLB359 Homo sapiens RNA-Seq;check ribozero;likely postmportem;Liver;;
