study_accession;first_public;study_title;project_name;run_accession;sample_accession;sample_title;sample_description;library_name;library_selection;library_source;library_strategy;library_construction_protocol;library_layout;rna_integrity_num;instrument_platform;rt_prep_protocol;cell_line;cell_type;tissue_lib;tissue_type;host_phenotype;isolate;age;host_body_site;description;note;origin;Gtex;;
PRJEB40695;29/10/2020;RNA-Seq of cultivated (i) bulk human thymic epithelial cells (hTECs) (ii) cortical hTECs (iii) medullary hTECs (iv) human thymic interstitial cells (hTICs);RNA-Seq of cultivated (i) bulk human thymic epithelial cells (hTECs) (ii) cortical hTECs (iii) medullary hTECs (iv) human thymic interstitial cells (hTICs);ERR4659290;SAMEA7377137;hTECs40;Protocols: detachment of cells from 2d dish, freezing of cultivated cells into RNAlater. TECs: growth onto irradiated 3T3-J2 feeder layer. TICs: cultuvation in MegaCell medium in 2d dish. RNeasy Plus Micro Kit, Qiagen. TruSeq® Stranded Total RNA.;hTECs40_p;Inverse rRNA;TRANSCRIPTOMIC;RNA-Seq;detachment of cells from 2d dish, freezing of cultivated cells into RNAlater. TECs: growth onto irradiated 3T3-J2 feeder layer. TICs: cultuvation in MegaCell medium in 2d dish. RNeasy Plus Micro Kit, Qiagen. TruSeq® Stranded Total RNA.;PAIRED;;ILLUMINA;;;epithelial cell of thymus;;;;;;;Illumina NovaSeq 6000 sequencing: RNA-Seq of cultivated (i) bulk human thymic epithelial cells (hTECs) (ii) cortical hTECs (iii) medullary hTECs (iv) human thymic interstitial cells (hTICs);;;Thymus - Epithelial cell;;
PRJNA742971;12/11/2022;A resource for integrated genomic analysis of the human liver;A resource for integrated genomic analysis of the human liver;SRR15013641;SAMN19988523;SJLB618;SJLB618;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Total RNA was extracted from tissue homogenized in TRIzol reagent, followed by Qiagen RNAeasy cleanup mRNA libraries were prepared using the Illuminia TruSeq Stranded Total RNA with Ribo-Zero protocol;PAIRED;;ILLUMINA;;;;;liver;;;;;Illumina HiSeq 2000 sequencing: GSM5412276: SJLB618 Homo sapiens RNA-Seq;check ribozero;likely postmportem;Liver;;
PRJNA209081;15/04/2014;RNA-seq identifies novel transcript elements and transcript processing in the normal and failing hearts;Homo sapiens;SRR915767;SAMN02209931;control rep4;control rep4;;cDNA;TRANSCRIPTOMIC;RNA-Seq;RNA was extracted with Trizol (Invitrogen) and further purified on RNeasy columns (Qiagen) with on column DNase digestion. Ribosomal RNA was depleted using the RiboMinus kit (Invitrogen). 1 µg rRNA-depleted RNA was used for the construction of sequencing libraries Illumina RNA-seq libraries were prepared from rRNA-depleted samples using the standard Illumina protocol. SOLiD RNA-seq libraries were prepared from a pool of all of 15 ICM samples and a pool of all of 15 Ctrl samples using the standard SOLiD strand-specific library protocol.;PAIRED;;ILLUMINA;;;;;heart;;;;;Illumina Genome Analyzer II sequencing: GSM1171576: ICM replicate12 Homo sapiens RNA-Seq;;;Heart;;
PRJNA901461;02/02/2023;COVID-19 patient samples collected by the PREDICT-19 consortium;COVID-19 patient samples collected by the PREDICT-19 consortium;SRR22283236;SAMN31714287;Whole blood, healthy control, rep 15;Whole blood, healthy control, rep 15;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Total RNA was isolated from whole blood samples stored and stabilized in PAXgene RNA tubes according to the manufacturer's guidelines (PreAnalytiX) Libraries were prepared with 300ng of total RNA per sample using the Illumina Stranded Total RNA Prep with Ribo-Zero Plus (RZP) as per manufacturer instructions (Illumina, CA, USA).;PAIRED;;ILLUMINA;;;;;Whole blood;;;;;Illumina NovaSeq 6000 sequencing: GSM7507677: Whole blood, COVID positive, rep 214 Homo sapiens RNA-Seq;;;Blood - Whole Blood;;
PRJNA742971;12/11/2022;A resource for integrated genomic analysis of the human liver;A resource for integrated genomic analysis of the human liver;SRR15013518;SAMN19988368;SJLB251;SJLB251;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Total RNA was extracted from tissue homogenized in TRIzol reagent, followed by Qiagen RNAeasy cleanup mRNA libraries were prepared using the Illuminia TruSeq Stranded Total RNA with Ribo-Zero protocol;PAIRED;;ILLUMINA;;;;;liver;;;;;Illumina HiSeq 2000 sequencing: GSM5412175: SJLB251 Homo sapiens RNA-Seq;check ribozero;likely postmportem;Liver;;
PRJNA914646;24/12/2023;Integrated Unbiased Multiomics Defines Disease-Independent Placental Clusters in Common Obstetrical Syndromes;;SRR22925398;SAMN32490935;Human sample from Homo sapiens;Human sample from Homo sapiens;TP19.B4353;Inverse rRNA;TRANSCRIPTOMIC;RNA-Seq;;PAIRED;;ILLUMINA;;;;;Placenta;;Control;;;Illumina NovaSeq 6000 sequencing: Control;;healthy;Placenta;;
PRJNA478051;21/02/2020;Dynamics of the transcriptional landscape during human gonad development during fetal life;Dynamics of the transcriptional landscape during human gonad development during fetal life;SRR7430732;SAMN09495527;XX_9GW_p5_EH727;XX_9GW_p5_EH727;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Total RNA were extracted from tissues using the RNeasy mini Kit (Qiagen), quantified using a NanoDrop™ 8000 spectrophotometer (Thermo Scientific) and quality controlled using a 2100 Electrophoresis Bioanalyzer (Agilent). Libraries of template molecules suitable for strand specific high throughput DNA sequencing were created using “TruSeq Stranded Total RNA with Ribo-Zero Gold Prep Kit” (catalog # RS-122-2301, Illumina Inc.). Briefly, the removal of cytoplasmic and mitochondrial ribosomal RNA (rRNA) was performed from 500 ng of total RNA using biotinylated, target-specific oligos combined with Ribo-Zero rRNA removal beads. Following purification, the RNA was fragmented using divalent cations under elevated temperature. The cleaved RNA fragments were copied into first strand cDNA using reverse transcriptase and random primers, followed by second strand cDNA synthesis using DNA Polymerase I and RNase H. The double stranded cDNA fragments were blunted using T4 DNA polymerase, Klenow DNA polymerase and T4 PNK. A single 'A' nucleotide was added to the 3' ends of the blunt DNA fragments using a Klenow fragment (3' to 5'exo minus) enzyme. The cDNA fragments were ligated to double stranded adapters using T4 DNA Ligase. The ligated products were enriched by PCR amplification (30 sec at 98°C [10 sec at 98°C, 30 sec at 60°C, 30 sec at 72°C] x 12 cycles 5 min at 72°C). Excess of PCR primers was removed by purification using AMPure XP beads (Agencourt Biosciences Corporation). Final cDNA libraries were quality-checked and quantified using a 2100 Electrophoresis Bioanalyzer (Agilent). The libraries were loaded in the flow cell at 7pM concentration and clusters were generated in the Cbot and sequenced in the Illumina Hiseq 2500 as paired-end 2x50 base reads following Illumina's instructions. Image analysis and base calling were performed using RTA 1.17.20 and CASAVA 1.8.2.;PAIRED;;ILLUMINA;;;;;Ovary;;;;;Illumina HiSeq 2500 sequencing: GSM3223683: XX_9GW_p5_EH727 Homo sapiens RNA-Seq;;;Ovary;;
PRJNA817436;24/12/2023;Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-M;Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-M;SRR18363171;SAMN26788796;26_PRE;26_PRE;GSM5960650;cDNA;TRANSCRIPTOMIC;RNA-Seq;Approximately 30 mg of adipose tissue was used for RNA extraction. Tissues were homogenized using TissueLyser (Qiagen) in 1 mL TRIzol (Sigma-Aldrich). Chloroform was added, samples were mixed, subjected to centrifugation, and the aqueous phase was transferred to a new tube. Thereafter, 1:1 70% ethanol was added, and the total volume was loaded on silica-membrane columns. RNA extraction was performed using a commercially available kit (Rneasy lipid tissue kit, Qiagen). RNA concentration and purity were assessed by absorbance at 260 and 280 nm using NanoDrop One (Thermo Fisher Scientific, Waltham, MA). Aliquots of RNA (300 ng) were analyzed using the Illumina TruSeq Stranded Total RNA with Ribo-Zero Gold protocol (Illumina) as described (ref). Ribosomal RNA was removed from the sample using 35 μl of rRNA removal beads (Illumina) on a magnetic plate followed by cleanup of the ribosomal-depleted RNA with 193 μl of Agencourt RNAClean XP beads (Beckman Coulter), 70% ethanol wash, and elution into 10 μl elution buffer (Illumina). The RNA sample was fragmented for 4 min at 94°C in Elute, Prime, Fragment High Mix (Illumina) and then subjected to first-strand cDNA synthesis with 1 μl of Superscript III reverse transcriptase (Life Technologies) per sample using a thermocycler programmed to 25°C for 10 min, 50°C for 15 min, and 70°C for 15 min. Second-strand cDNA was synthesized by addition of Second-Strand Marking Master Mix, and samples were incubated at 16°C for 60 min. Samples were subjected to another bead cleanup before A-tailing and ligation of adapters as per kit instructions (Illumina). Following a third bead cleanup, samples were enriched for DNA fragments by amplification using the Illumina polymerase chain reaction (PCR) Primer Cocktail and PCR Master Mix, subjected to 98°C for 30 min, followed by a predefined cycle (98°C for 10 s, 60°C for 30 s, and 72°C for 30 s) that was repeated 3 to 15 times, on the basis of each individual sample, and finally incubated for 5 min at 72°C. Samples were cleaned and validated for DNA concentration using the Qubit dsDNA HS assay kit (Invitrogen) and for base pair size and purity using the Agilent High Sensitivity DNA chip and Bioanalyzer instrument. 38-bp paired-end sequencing on a NextSeq500;PAIRED;;ILLUMINA;;;;;Adipose tissue biopsy;;;;;NextSeq 500 sequencing: GSM5960650: 26_PRE Homo sapiens RNA-Seq;;;Adipose;;
PRJNA726237;17/11/2021;Ischemic heart disease selectively modifies the right atrial appendage transcriptome;Ischemic heart disease selectively modifies the right atrial appendage transcriptome;SRR14362380;SAMN18926156;(ICA)-positive IHD undergoing coronary artery bypass surgery, 29-12-14-JK;(ICA)-positive IHD undergoing coronary artery bypass surgery, 29-12-14-JK;;cDNA;TRANSCRIPTOMIC;RNA-Seq;During cardiac surgery, a biopsy sample of the RAA was collected from each patient. Tissue samples were collected at the cannulation site, the insertion site of the venous line for the heart–lung machine. Dissected biopsies were briefly washed in ice-cold sterile saline, cut into 0.5 cm thick tissue pieces, and immersed into 3 ml of RNAlater (Sigma Aldrich, Merck KGaA, Darmstadt, Germany) to inactivate RNAses and stabilize RNA. Samples were let to stabilize at +4°C for one day and stored at under -70°C until processing. Total RNA was isolated from RAA biopsies via initial ice-cold tissue homogenization using a Precellys 24 tissue homogenizer equipped with the Cryolys cooling option (Bertin Technologies SAS, Montigny-le-Bretonneux, France) followed by RNA isolation using combined QIAzol / chloroform extraction and Qiagen RNeasy mini spin column purification according to the manufacturer's instructions (Qiagen, Venlo, Netherlands). The sample RNA integrity number (RIN mean 7.95 ± 0.55 range 7.1–9.0) and total quantity (mean 3069.55 ± 1141.08 ng range 867.8–6855.0 ng) was evaluated in the Functional Genomics Unit (FuGU, University of Helsinki, Helsinki, Finland). Isolated total RNA was stored at under -70oC until sequencing. Ribosomal RNA was removed using the Ribo-ZeroTM Magnetic kit (Illumina Inc, San Diego, CA). RNA libraries were prepared for sequencing using standard Illumina protocols;PAIRED;;ILLUMINA;;;;;Heart (Atrial Appendage);;;;;Illumina HiSeq 4000 sequencing: GSM5271557: (ICA)-positive IHD undergoing coronary artery bypass surgery, 29-12-14-JK Homo sapiens RNA-Seq;;non-cancer disease;Heart - Atrial appendage;;
PRJNA574470;12/05/2020;Hippocampal Subfield Transcriptome Analysis in Schizophrenia Psychosis;Hippocampal Subfield Transcriptome Analysis in Schizophrenia Psychosis;SRR10192661;SAMN12858891;CA3_CTL_0877;CA3_CTL_0877;;1;TRANSCRIPTOMIC;RNA-Seq;Total RNA was extracted and purified using a protocol combining Trizol and chloroform extraction, the GeneJET RNA Purification Kit, and a motorized mini-pestle vibrator for tissue homogenization. RNA purity and concentration were assessed on the Nanodrop spectrophotometer and Agilent2100 Bioanalyzer for RNA Integrity number (RIN) determination. Total RNA was rRNA ribo-depleted, and strand-specific cDNA libraries were synthesized before sequencing on an Illumina HiSeq 2500 sequencer. Stranded, single-end 50-base-pair reads were generated for the preliminary CA3 cohort data. Stranded paired-end 100-base-pair reads were generated for additional cohorts. Libraries and sequencing were performed at the UTSW McDermott Sequencing Core and UTSW Genomics & Microarray Core.;PAIRED;;ILLUMINA;;;;;hippocampus;;;;;Illumina HiSeq 2500 sequencing: GSM4098925: CA3_CTL_0877 Homo sapiens RNA-Seq;;;Brain - Hippocampus;;
PRJNA387704;23/02/2018;Comparsion of the transcriptome profiles in normal and age-related macular degneration in retina and RPE-Choroid-Scleral (RCS) tissues;Homo sapiens;SRR5591606;SAMN07161004;Normal_PR_5.TR09;Normal_PR_5.TR09;;cDNA;TRANSCRIPTOMIC;RNA-Seq;collection protocol: For each donor eye, the retina (PR) and RPE-Choroid-Sclera (PRCS) samples were dissected from the peripheral region of the posterior eye globes using a 10mm-biopsy punch followed by a 8mm-punch in the middle of the 10mm-punch to minimize the sample contamination. A total of 32 RNA samples were prepared using the AllPrep DNA/RNA Mini kit (Qiagen). Library preparation and sequencing was done using the TruSeq Stranded total RNA with RiboZero Gold kit (Illumina, CA) protocol with a total RNA (800ng) as the starting material.;PAIRED;;ILLUMINA;;;;;Peripheral RPE-Choroid-Sclera;;;;;Illumina HiSeq 2000 sequencing: GSM2638066: AMD_PRC_8.TR-32 Homo sapiens RNA-Seq;;;Eye;;
