study_accession;first_public;study_title;project_name;run_accession;sample_accession;sample_title;sample_description;library_name;library_selection;library_source;library_strategy;library_construction_protocol;library_layout;rna_integrity_num;instrument_platform;rt_prep_protocol;cell_line;cell_type;tissue_lib;tissue_type;host_phenotype;isolate;age;host_body_site;description;note;origin;Gtex;;
PRJNA324260;18/10/2016;Human liver RNA-seq data corresponding to uninfected non-malignant, HCV infected non-malignant, and HCV+ HCC tissue;Homo sapiens;SRR3621790;SAMN05199328;L11-27-Control_RNA-seq;L11-27-Control_RNA-seq;;cDNA;TRANSCRIPTOMIC;RNA-Seq;We extracted total RNA from homogenized liver samples with 0.2 ml of chloroform and 1 ml of TRIZOL Reagent. After precipitation and washing, the RNA was dissolved in RNase-free water and given DNase treatment. DNase-treated, rRNA-depleted (Ribozero, Epicentre) RNA was used as a template for SuperScript III first-strand cDNA synthesis (Invitrogen), using oligo-dT as well as random hexamers. Actinomycin D was added to the reaction to prevent any possible amplification from contaminating genomic DNA. During second-strand synthesis, a dU/VTP mix was used to create directional libraries. cDNA samples were fragmented with Covaris to 300-bp fragments. The samples were then end-filled, 3 terminal A extended and ligated to preannealed TruSeq-indexed Illumina adapters. Uracil-DNAglycosylase UDG) treatment preceded the PCR reaction to amplify exclusively the originally oriented transcripts. Libraries were amplified using P5 and P7 Illumina primers and gel-extracted for size selection and primer-dimer removal. Before sequencing, libraries were tested using the BioAnalyzer to assure library quality, in terms of size and primer-dimer depletion. Indexed libraries were multiplexed for 100-bp single-end sequencing on the Illumina HiSeq 2000 platform.;SINGLE;;ILLUMINA;;;;;liver;;;;;Illumina HiSeq 2000 sequencing: GSM2185676: L11-27-Control_RNA-seq Homo sapiens RNA-Seq;;;Liver;;
PRJNA939148;09/07/2023;Transcriptomes of human primary skin fibroblasts reveal age-associated mRNAs and long noncoding RNAs;Transcriptomes of human primary skin fibroblasts reveal age-associated mRNAs and long noncoding RNAs;SRR23630184;SAMN33458021;SKIN_AGE78_F_GR4_Gt035;SKIN_AGE78_F_GR4_Gt035;GSM7067638;cDNA;TRANSCRIPTOMIC;RNA-Seq;After expansion, total RNA was isolated using the Direct-zolTM RNA MiniPrep kit (Zymo Research) following the manufacturer's instruction. Ribo-RNA depletion with Low Input RiboMinus Eukaryote System v2 (Thermo Fisher Scientific). Ribo-RNA-depleted samples were then used for cDNA synthesis with Ovation® RNA-Seq System V2 (Nugen) following the manufacturer's protocol. Following cDNA fragmentation and size selection, libraries were prepared using Illumina TruSeq ChIP Library Preparation Kit (Illumina) according to manufacturer's protocol.;PAIRED;;ILLUMINA;;;primary skin fibroblasts;;;;;;;Illumina NovaSeq 6000 sequencing: GSM7067638: SKIN_AGE78_F_GR4_Gt035 Homo sapiens RNA-Seq;;;Cells - Cultured fibroblasts;;
PRJEB21050;22/05/2018;RNA-seq of formalin-fixed, paraffin-embedded uninvolved terminal ileal tissue obtained from ileo-colic resection surgeries of Crohn’s disease and control patients;RNA-seq of formalin-fixed, paraffin-embedded uninvolved terminal ileal tissue obtained from ileo-colic resection surgeries of Crohn’s disease and control patients;ERR1993152;SAMEA104101949;WUCA-Cont-11;Protocols: We retrospectively obtained de-identified FFPE tissue from patients who underwent ileo-colic resection surgery at Barnes-Jewish Hospital, St. Louis between 2005 and 2010. CD patient surgical resections were due to complications associated with the disease, whereas control resections were due to adenoma, carcinoma or abdominal trauma. The set of hematoxylin and eosin-stained tissue sections from each resection were obtained and examined by two pathologists (T.C.L. and T.S.S.) to identify the uninvolved proximal margin (terminal ileum) of each resection. These tissue sections were then further evaluated to identify those that met the histological inclusion criteria for this study. The criteria were that the sample had at least 100 well-oriented intestinal crypts (contained crypt lumens that extended from the apex to the base of the crypt) and absent/minimal active or chronic inflammatory disease (e.g., cryptitis, crypt abscess, architectural distortion, pyloric gland metaplasia, etc.).The study protocol was approved by the Institutional Review Board of Washington University. Patients were recruited by the Washington University Digestive Diseases Research Core Center (DDRCC). Written informed consent was obtained from all study participants prior to inclusion in the study. For samples that met the histological inclusion criteria, two fresh, unstained 5-µm FFPE tissue sections on glass microscope slides were obtained. Slides were not baked after cutting. For each sample, the two tissue sections were scraped off of the slides using a clean razor and placed in 1.5 mL Eppendorf tubes. The tubes were briefly centrifuged to place the sample towards the bottoms or sides of the tube. RNA extraction and DNase treatment was performed using the RNeasy FFPE kit (Qiagen) according to the manufacturer’s instructions, using the Xylene protocol for the paraffin removal step and 30 µL RNase-free H2O for the elution step. RNA was initially quantified by NanoDrop. Subsequent total RNA quantification and quality assessment was performed by Bioanalyzer 2100 (Agilent Technologies). Samples were excluded from the study if >20% of the RNA fragments were >200 base pairs in length, as determined with the Bioanalyzer software. Library preparation was performed by the Genome Technology Access Center (GTAC) at Washington University. Library preparation used 150 ng of total RNA. ds-cDNA was generated using the Ovation RNA-seq FFPE system (Nugen, per manufacturer’s instructions). cDNA was blunt ended, had an A base added to the 3’ ends, and then had Illumina sequencing adapters ligated to the ends. Ligated fragments were then amplified for 12 cycles using primers incorporating unique index tags.;WUCA-Cont-11_s;Inverse rRNA;TRANSCRIPTOMIC;RNA-Seq;We retrospectively obtained de-identified FFPE tissue from patients who underwent ileo-colic resection surgery at Barnes-Jewish Hospital, St. Louis between 2005 and 2010. CD patient surgical resections were due to complications associated with the disease, whereas control resections were due to adenoma, carcinoma or abdominal trauma. The set of hematoxylin and eosin-stained tissue sections from each resection were obtained and examined by two pathologists (T.C.L. and T.S.S.) to identify the uninvolved proximal margin (terminal ileum) of each resection. These tissue sections were then further evaluated to identify those that met the histological inclusion criteria for this study. The criteria were that the sample had at least 100 well-oriented intestinal crypts (contained crypt lumens that extended from the apex to the base of the crypt) and absent/minimal active or chronic inflammatory disease (e.g., cryptitis, crypt abscess, architectural distortion, pyloric gland metaplasia, etc.).The study protocol was approved by the Institutional Review Board of Washington University. Patients were recruited by the Washington University Digestive Diseases Research Core Center (DDRCC). Written informed consent was obtained from all study participants prior to inclusion in the study. For samples that met the histological inclusion criteria, two fresh, unstained 5-µm FFPE tissue sections on glass microscope slides were obtained. Slides were not baked after cutting. For each sample, the two tissue sections were scraped off of the slides using a clean razor and placed in 1.5 mL Eppendorf tubes. The tubes were briefly centrifuged to place the sample towards the bottoms or sides of the tube. RNA extraction and DNase treatment was performed using the RNeasy FFPE kit (Qiagen) according to the manufacturer’s instructions, using the Xylene protocol for the paraffin removal step and 30 µL RNase-free H2O for the elution step. RNA was initially quantified by NanoDrop. Subsequent total RNA quantification and quality assessment was performed by Bioanalyzer 2100 (Agilent Technologies). Samples were excluded from the study if >20% of the RNA fragments were >200 base pairs in length, as determined with the Bioanalyzer software. Library preparation was performed by the Genome Technology Access Center (GTAC) at Washington University. Library preparation used 150 ng of total RNA. ds-cDNA was generated using the Ovation RNA-seq FFPE system (Nugen, per manufacturer’s instructions). cDNA was blunt ended, had an A base added to the 3’ ends, and then had Illumina sequencing adapters ligated to the ends. Ligated fragments were then amplified for 12 cycles using primers incorporating unique index tags.;SINGLE;;ILLUMINA;;;;;;;;;;Illumina HiSeq 2000 sequencing: RNA-seq of formalin-fixed, paraffin-embedded uninvolved terminal ileal tissue obtained from ileo-colic resection surgeries of Crohn’s disease and control patients;;;Small Intestine - Ileum;;
PRJNA773413;04/04/2022;Compartment-specific total RNA profile of Hippocampal and Cortical cells from Mesial Temporal Lobe Epilepsy tissue;Compartment-specific total RNA profile of Hippocampal and Cortical cells from Mesial Temporal Lobe Epilepsy tissue;SRR16522643;SAMN22483697;Cortex_cytoplasm_control4 [Cx_cyt_S02-071];Cortex_cytoplasm_control4 [Cx_cyt_S02-071];;cDNA;TRANSCRIPTOMIC;RNA-Seq;Complete details can be found on manuscripts methods section. Briefly, subcellular fractionation was performed isolating pure cytosolic and nuclei cell compartments. Isolated cytoplasmic and nuclei samples were stored in Qiazol (Qiagen) at -80oC until RNA extraction was performed. Total RNA was extracted using miRNeasy kit (Qiagen), according to manufacturer's protocol. A total of 2 ug of RNA per sample in a 5 ul volume was rRNA-depleted using the Ribo-Zero Magnetic Kit (human/mouse/rat Illumina) before library preparation. Stranded, paired-end sequencing libraries were prepared using the ScriptSeq v2 (Epicentre), after which samples were subjected to quality control on the 2100 Bioanalyzer (Agilent). Sequencing was performed as paired end 100 bp reads on an Illumina HiSeq 4000 sequencer at the Beijing Genomics Institute (BGI) (Hongkong, China).;PAIRED;;ILLUMINA;;;;;Cortex;;;;;Illumina HiSeq 4000 sequencing: GSM5643900: Cortex_cytoplasm_control4 [Cx_cyt_S02-071] Homo sapiens RNA-Seq;cytoplasm;non-cancer disease;Brain - Cortex;;
PRJNA997353;22/12/2023;Race-specific coregulatory and transcriptomic profiles associated with DNA methylation and androgen receptor in prostate cancer [RNA-Seq];Race-specific coregulatory and transcriptomic profiles associated with DNA methylation and androgen receptor in prostate cancer [RNA-Seq];SRR25387932;SAMN36678724;PT-00225395_NT_EA;PT-00225395_NT_EA;GSM7657554;cDNA;TRANSCRIPTOMIC;RNA-Seq;Illumina TruSeq Stranded Total RNA Library Prep Kit with Ribo-Zero Gol RNA libraries were prepared for sequencing using standard Illumina protocols;PAIRED;;ILLUMINA;;;;;prostate;;;;;Illumina HiSeq 2500 sequencing: GSM7657554: PT-00225395_NT_EA Homo sapiens RNA-Seq;;tumor-adjacent;Prostate;;
PRJNA742971;12/11/2022;A resource for integrated genomic analysis of the human liver;A resource for integrated genomic analysis of the human liver;SRR15013666;SAMN19988467;SJLB687;SJLB687;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Total RNA was extracted from tissue homogenized in TRIzol reagent, followed by Qiagen RNAeasy cleanup mRNA libraries were prepared using the Illuminia TruSeq Stranded Total RNA with Ribo-Zero protocol;PAIRED;;ILLUMINA;;;;;liver;;;;;Illumina HiSeq 2000 sequencing: GSM5412298: SJLB687 Homo sapiens RNA-Seq;check ribozero;likely postmportem;Liver;;
PRJNA454694;09/02/2019;Sequencing based maternal whole blood expression changes with gestational age and labor in normal pregnancy;Sequencing based maternal whole blood expression changes with gestational age and labor in normal pregnancy;SRR7094304;SAMN09011905;Sample_4 [RNA-seq];Sample_4 [RNA-seq];;cDNA;TRANSCRIPTOMIC;RNA-Seq;RNA was isolated from  PAXgene® Blood RNA collection tube (BD 762165) as described in the PAXgene® Blood miRNA Kit Handbook (December, 2015). Purified RNA was quantified by UV spectrophotometry using the DropSense96® Microplate Spectrophotometer (Trinean) and quality assessed by microfluidics using the RNA ScreenTape on the Agilent 2200 TapeStation. Starting with 500 ng of total RNA, cDNA library templates were synthesized using the Illumina TruSeq® Stranded Total RNA LT (Set A) Kit with Ribo-Zero Globin rRNA reduction, as described in the TruSeq® Stranded Total RNA Sample Preparation Guide (Rev. E, October 2013). Libraries were validated using the HS D1000 ScreenTape on the Agilent 2200 TapeStation, and quantified on the Qubit® 2.0 Fluorometer by the Qubit® dsDNA HS Assay (ThermoFisher). The Illumina HiSeq 2500 instrument was used to cluster the samples onto the flow cell. The pools were put on at 10pM and run in rapid mode at 2×100 paired end. Illumina HiSeq Rapid PE Cluster kit V2 and HiSeq Rapid SBS kit v2 200 cycles was used.;PAIRED;;ILLUMINA;;;;;;;;;;Illumina HiSeq 2500 sequencing: GSM3124815: Sample_4 [RNA-seq] Homo sapiens RNA-Seq;;;Blood - Whole blood;;
PRJNA454694;09/02/2019;Sequencing based maternal whole blood expression changes with gestational age and labor in normal pregnancy;Sequencing based maternal whole blood expression changes with gestational age and labor in normal pregnancy;SRR7094305;SAMN09011905;Sample_4 [RNA-seq];Sample_4 [RNA-seq];;cDNA;TRANSCRIPTOMIC;RNA-Seq;RNA was isolated from  PAXgene® Blood RNA collection tube (BD 762165) as described in the PAXgene® Blood miRNA Kit Handbook (December, 2015). Purified RNA was quantified by UV spectrophotometry using the DropSense96® Microplate Spectrophotometer (Trinean) and quality assessed by microfluidics using the RNA ScreenTape on the Agilent 2200 TapeStation. Starting with 500 ng of total RNA, cDNA library templates were synthesized using the Illumina TruSeq® Stranded Total RNA LT (Set A) Kit with Ribo-Zero Globin rRNA reduction, as described in the TruSeq® Stranded Total RNA Sample Preparation Guide (Rev. E, October 2013). Libraries were validated using the HS D1000 ScreenTape on the Agilent 2200 TapeStation, and quantified on the Qubit® 2.0 Fluorometer by the Qubit® dsDNA HS Assay (ThermoFisher). The Illumina HiSeq 2500 instrument was used to cluster the samples onto the flow cell. The pools were put on at 10pM and run in rapid mode at 2×100 paired end. Illumina HiSeq Rapid PE Cluster kit V2 and HiSeq Rapid SBS kit v2 200 cycles was used.;PAIRED;;ILLUMINA;;;;;;;;;;Illumina HiSeq 2500 sequencing: GSM3124815: Sample_4 [RNA-seq] Homo sapiens RNA-Seq;;;Blood - Whole blood;;
PRJNA914646;24/12/2023;Integrated Unbiased Multiomics Defines Disease-Independent Placental Clusters in Common Obstetrical Syndromes;;SRR22925235;SAMN32490912;Human sample from Homo sapiens;Human sample from Homo sapiens;TP19.B3472;Inverse rRNA;TRANSCRIPTOMIC;RNA-Seq;;PAIRED;;ILLUMINA;;;;;Placenta;;Control;;;Illumina NovaSeq 6000 sequencing: Control;;healthy;Placenta;;
PRJNA768868;06/01/2022;Transcriptomics of receptive endometrium in women with sonographic features of adenomyosis;Transcriptomics of receptive endometrium in women with sonographic features of adenomyosis;SRR16212318;SAMN22068489;K23;K23;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Retrieved endometrial samples were immediately placed in RNAlater solution (Thermo Fisher Scientific Baltics UAB, Vilnius, Lithuania), stored overnight at +4 °C and then transferred to –80 °C. Total RNA was isolated using the miRNeasy Mini Kit (Qiagen GmbH, Hilden, Germany) according to the manufacturer's instructions. Each whole-tissue endometrial sample was first disrupted with a Bullet Blender Storm Pro homogenizer (Next Advance, lnc., Troy, NY, USA) using 1 mm zirconium oxide beads in 700 µL of QIAzol Lysis Reagent from the miRNeasy Mini Kit. Both lncRNA and mRNA 150 bp paired-end libraries were constructed and subsequently sequenced by Novogene Bioinformatics Technology Co., Ltd. (Hong Kong, China). Briefly, a total amount of 2 µg of RNA per sample was used for cDNA sequencing library preparation. Ribosomal RNA (rRNA) was removed using the Epicentre Ribo-zeroTM rRNA Removal Kit (Epicentre, Brooklyn, NY, USA), and the remaining RNA was used for library generation by the NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, Ipswich, MA, USA). First, rRNA-depleted RNA samples were fragmented followed by first- and second-strand cDNA synthesis. The sequencing adaptors were ligated, and library fragments were purified to obtain cDNA fragments 150~200 bp in length. Polymerase chain reaction (PCR) amplification of size-selected, adaptor-ligated cDNA was performed using universal PCR primers and index primers. Index-coded samples were clustered by Illumina TruSeq PE Cluster Kit v3-cBot-Hs. Libraries were sequenced on an Illumina NovaSeq 6000 platform, which generated 150 bp paired-end reads.;PAIRED;;ILLUMINA;;;;;;;;;;Illumina NovaSeq 6000 sequencing: GSM5613999: K23 Homo sapiens RNA-Seq;;;Uterus - Endometrium;;
