code_uberon,name,synonym
UBERON:0007276,crista of ampulla of lateral semicircular duct of membranous laybrinth,"lateral crista;lateral crista ampullaris;lateral cristae;lateral semicircular canal sensory patch;lateral semicircular canal sensory patches;LC;sensory patches"
UBERON:0007277,presumptive hindbrain,"embryonic rhombencephalon;future hindbrain;presumptive rhombencephalon;rhombencephalon"
UBERON:0007278,presumptive sinus venosus,""
UBERON:0007279,presumptive atrioventricular canal,"future atrioventricular canal;future AV canal"
UBERON:0007280,presumptive endocardium,""
UBERON:0007281,presumptive midbrain hindbrain boundary,"presumptive MHB;presumptive midbrain-hindbrain boundary"
UBERON:0007282,presumptive segmental plate,"presumptive segmental plates"
UBERON:0007283,presumptive shield,""
UBERON:0007284,presumptive neural plate,"prospective neuroectoderm;prospective vegetal ectoderm"
UBERON:0007285,presumptive paraxial mesoderm,"future paraxial mesenchyme;future paraxial mesoderm"
UBERON:0007286,presumptive floor plate,""
UBERON:0007287,presumptive bulbus arteriosus,""
UBERON:0007288,presumptive forebrain midbrain boundary,""
UBERON:0007289,presumptive rhombomere 1,""
UBERON:0007290,presumptive rhombomere 3,""
UBERON:0007291,presumptive rhombomere 4,""
UBERON:0007292,presumptive rhombomere 5,""
UBERON:0007293,presumptive rhombomere 6,""
UBERON:0007294,presumptive rhombomere 7,""
UBERON:0007295,presumptive rhombomere 8,""
UBERON:0007296,presumptive rhombomere 2,""
UBERON:0007297,presumptive pronephric mesoderm,"nephron primordium"
UBERON:0007298,pronephric proximal convoluted tubule,""
UBERON:0007299,choroid plexus of tectal ventricle,"choroid plexus tectal ventricle;choroid plexus tectal ventricles"
UBERON:0007300,pectoral appendage blood vessel,"pectoral fin blood vessel"
UBERON:0007301,appendage blood vessel,"fin blood vessel;limb blood vessel"
UBERON:0007302,pectoral appendage vasculature,"pectoral fin vasculature"
UBERON:0007303,pharyngeal vasculature,"branchial vasculature"
UBERON:0007304,appendage vasculature,"fin vasculature"
UBERON:0007306,pronephric glomerular capillary,""
UBERON:0007307,pronephric glomerular basement membrane,"pronephric glomerular filtration membrane"
UBERON:0007308,pronephric distal early tubule,"pronephric distal early tubules"
UBERON:0007311,sputum,"expectoration"
UBERON:0007312,pudendal artery,"arteriae pudendae;arteriae pudendales"
UBERON:0007314,superior external pudendal artery,""
UBERON:0007315,internal pudendal artery,"arteria pudenda interna;arteriae pudendae interna;arteriae pudendales interna;internal pudendal vessels;internal pudic artery"
UBERON:0007316,deep external pudendal artery,"arteria pudenda externa profunda;arteriae pudendae externa profunda;arteriae pudendales externa profunda"
UBERON:0007317,superficial external pudendal artery,"arteria pudenda externa superficialis;arteriae pudendae externa superficialis;arteriae pudendales externa superficialis;superficial external pudic artery"
UBERON:0007318,saphenous vein,""
UBERON:0007319,medial saphenous vein,"medial accessory saphenous vein"
UBERON:0007321,lateral saphenous vein,"lateral accessory saphenous vein"
UBERON:0007324,pancreatic lobule,"lobulus pancreaticus;pancreas lobe;pancreatic lobule"
UBERON:0007329,pancreatic duct,"duct of pancreas;ductus pancreaticus;pancreas duct"
UBERON:0007330,rhamphotheca,"horny sheath of beak;outer keratin layer of beak"
UBERON:0007331,maxillary rhamphotheca,"maxillary beak;rhinotheca"
UBERON:0007332,mandibular rhamphotheca,"gnathotheca;mandibular beak"
UBERON:0007334,nidopallium,"nested pallium"
UBERON:0007347,hyperpallium,"hyperstriatum"
UBERON:0007349,mesopallium,"middle pallium"
UBERON:0007350,arcopallium,"amygdaloid complex;arched pallium;archistriatum;epistriatum"
UBERON:0007351,nucleus isthmo-opticus,"nucleus isthmoopticus"
UBERON:0007352,stria vascularis vasculature,"stria vascularis blood vessel;stria vascularis blood vessels"
UBERON:0007354,cartilage of pharyngotympanic tube,"cartilage of auditory tube;cartilage of eustachian tube;cartilago tubae auditivae;cartilago tubae auditivae; cartilago tubae auditoriae;cartilago tubae auditoriae;pharyngotympanic tube cartilage"
UBERON:0007355,bony part of pharyngotympanic tube,"bony part of auditory tube;bony part of eustachian tube;osseous portion;osseous portion of eustachian tube;pars ossea (tuba auditiva);pars ossea (tuba auditoria);pars ossea tubae auditivae"
UBERON:0007356,crop,"esophageal diverticulum;esophageal pouch"
UBERON:0007357,proventriculus,""
