code_uberon,name,synonym
UBERON:0000000,processual entity,""
UBERON:0000002,uterine cervix,"canalis cervicis uteri;caudal segment of uterus;cervical canal;cervical canal of uterus;cervix;cervix of uterus;cervix uteri;neck of uterus;uterine cervix"
UBERON:0000003,naris,""
UBERON:0000004,nose,"nasal sac;nasus;nose;olfactory apparatus;peripheral olfactory organ;proboscis"
UBERON:0000005,chemosensory organ,"chemosensory sensory organ"
UBERON:0000006,islet of Langerhans,"island of Langerhans;island of pancreas;islets of Langerhans;pancreatic insula;pancreatic islet"
UBERON:0000007,pituitary gland,"glandula pituitaria;Hp;hypophysis;hypophysis cerebri;pituitary;pituitary body"
UBERON:0000009,submucosa,"organ submucosa;region of submucosa;submucosa of organ;submucosa of region of organ;submucous layer;tela submucosa;tunica submucosa"
UBERON:0000010,peripheral nervous system,"pars peripherica;PNS;systema nervosum periphericum"
UBERON:0000011,parasympathetic nervous system,"parasympathetic part of autonomic division of nervous system;pars parasympathica divisionis autonomici systematis nervosi;pars parasympathica divisionis autonomici systematis nervosi;PNS - parasympathetic"
UBERON:0000012,somatic nervous system,"PNS - somatic;somatic nervous system, somatic division;somatic part of peripheral nervous system;somatic peripheral nervous system"
UBERON:0000013,sympathetic nervous system,"pars sympathica divisionis autonomici systematis nervosi;pars sympathica divisionis autonomici systematis nervosi;sympathetic nervous system;sympathetic part of autonomic division of nervous system"
UBERON:0000014,zone of skin,"portion of skin;region of skin;skin;skin region;skin zone"
UBERON:0000015,non-material anatomical boundary,"anatomical boundary"
UBERON:0000016,endocrine pancreas,"endocrine pancreas;endocrine part of pancreas;islets of Langerhans part of pancreas;pars endocrina pancreatis"
UBERON:0000017,exocrine pancreas,"exocrine component of pancreas;exocrine pancreas;exocrine part of pancreas;pars exocrina pancreatis"
UBERON:0000018,compound eye,"adult compound eye;faceted eye;Facettenauge;insect eye;Komplexauge;zusammengesetztes Auge"
UBERON:0000019,camera-type eye,"camera-type eye plus associated structures;eye;eyes;orbital part of face;orbital region;regio orbitalis;vertebrate eye"
UBERON:0000020,sense organ,"organ of sense organ system;organ of sensory organ system;organ of sensory system;sense organ system organ;sensillum;sensor;sensory organ;sensory organ system organ;sensory system organ;Sinnesorgan"
UBERON:0000021,cutaneous appendage,"epidermal appendage;epidermal growth;skin appendage"
UBERON:0000022,feather,""
UBERON:0000023,wing,"aliform appendage"
UBERON:0000024,forelimb wing,""
UBERON:0000025,tube,"anatomical tube;duct"
UBERON:0000026,appendage,"appendages;extremitaet;extremity;limbs/digits/tail"
UBERON:0000029,lymph node,"lymph gland;nodus lymphaticus"
UBERON:0000030,lamina propria,"lamina propria mucosa;lamina propria mucosae;tunica propria"
UBERON:0000031,lamina propria of trachea,"lamina propria mucosa of trachea;lamina propria mucosa of windpipe;lamina propria mucosae of trachea;lamina propria mucosae of windpipe;lamina propria of windpipe;trachea lamina propria;trachea lamina propria mucosa;trachea lamina propria mucosae;tracheal lamina propria;windpipe lamina propria;windpipe lamina propria mucosa;windpipe lamina propria mucosae"
UBERON:0000032,obsolete cranial structure,""
UBERON:0000033,head,"adult head;cephalic area;head (volume)"
UBERON:0000035,primary ovarian follicle,"folliculus ovaricus primarius;ovary primary follicle;preantral follicle of ovary;primary egg follicle;primary follicle;primary follicle of ovary;primary ovarian follicle"
UBERON:0000036,secondary ovarian follicle,"antral follicle of ovary;folliculus ovaricus secondarius;ovary secondary follicle;pre-antral follicle;pre-ovulatory follicle;preantral follicle;secondary egg follicle;secondary follicle;secondary follicle of ovary"
UBERON:0000037,tertiary ovarian follicle,"antral follicle;antral ovarian follicle;folliculi ovarici vesiculosi;folliculus ovaricus tertiarius;folliculus ovaricus tertiarius (vesiculosus);folliculus ovaricus tertiarius (vesiculous);Graafian follicle;ovary antral follicle;tertiary egg follicle;tertiary follicle of ovary;vesicular follicle of ovary;vesicular ovarian follicle"
UBERON:0000038,follicular fluid,"antral fluid, ovarian follicle;liquor follicularis;liquor folliculi;liquor folliculi;ovarian follicular fluid;ovary follicle fluid;ovary follicular fluid"
UBERON:0000039,follicular antrum,"antral cavity;antrum folliculare;antrum follicularum;ovarian follicle antrum"
UBERON:0000040,Leydig's organ,""
UBERON:0000041,odontode scale,"dermal denticle;odontode scale;placoid scale"
UBERON:0000042,serous membrane,"serosa;tunica serosa;wall of serous sac"
UBERON:0000043,tendon,"sinew;tendo"
UBERON:0000044,dorsal root ganglion,"dorsal root ganglia;dorsal root ganglion;DRG;ganglion of dorsal root;ganglion sensorium nervi spinalis;ganglion spinale;ganglion spinalis;posterior root ganglion;spinal ganglion;spinal ganglion part of peripheral nervous system"
UBERON:0000045,ganglion,"ganglia;neural ganglion"
UBERON:0000046,stemma,"pit eye"
UBERON:0000047,simple eye,""
UBERON:0000048,pinhole eye,""
UBERON:0000049,spherical lensed eye,""
UBERON:0000050,simple eye with multiple lenses,""
UBERON:0000051,fornix of vagina,"fornix;fornix vaginae;vaginal fornices;vaginal fornix"
UBERON:0000052,fornix of brain,"brain fornix;cerebral fornix;forebrain fornix;fornix;fornix (column and body of fornix);fornix cerebri;fornix hippocampus;fornix of neuraxis;hippocampus fornix;neuraxis fornix"
UBERON:0000053,macula lutea,"macula;macula flava retinae;macula retinae;maculae"
UBERON:0000054,macula,"acoustic macula;acoustic maculae;macula;maculae;sensory macula;sensory patch"
UBERON:0000055,vessel,""
UBERON:0000056,ureter,"metanephric duct"
UBERON:0000057,urethra,""
UBERON:0000058,duct,"anatomical duct;ducts;exocrine duct;exocrine gland duct"
UBERON:0000059,large intestine,"intestinum crassum"
UBERON:0000060,anatomical wall,"organ wall;wall;wall of organ"
UBERON:0000061,anatomical structure,"biological structure;connected biological structure"
UBERON:0000062,organ,"anatomical unit;body organ;element"
UBERON:0000063,organ subunit,"organ region with fixed fiat boundary;organ segment;segment of organ"
UBERON:0000064,organ part,"cardinal organ part;regional part of organ"
UBERON:0000065,respiratory tract,""
UBERON:0000066,fully formed stage,"adult stage;fully formed animal stage;juvenile-adult stage"
UBERON:0000067,obsolete embryo stage part,"embryonic stage part"
UBERON:0000068,embryo stage,"embryogenesis;embryonic stage"
UBERON:0000069,larval stage,"ammocoete;ammocoete stage;bipinnaria;bipinnaria stage;caterpillar;caterpillar stage;glochidium;glochidium stage;grub;grub stage;larva;larva stage;leptocephalus;leptocephalus stage;maggot;maggot stage;metacestode;naiad, nymph;naiad, nymph stage;nauplius;nauplius stage;nymph;nymph stage;planula;planula stage;tornaria;trochophore;trochophore stage;veliger;veliger stage;wriggler;wriggler stage;zoea;zoea stage"
UBERON:0000070,pupal stage,"aurelia stage;chrysalides stage;chrysalis stage;pupa stage"
UBERON:0000071,death stage,"death"
UBERON:0000072,proximo-distal subdivision of respiratory tract,"respiratory tract;subdivision of respiratory tract"
UBERON:0000073,regional part of nervous system,"part of nervous system"
UBERON:0000074,renal glomerulus,"glomerular capillary tuft;glomerular tuft;glomerulus;glomerulus renis;Malphigian glomerulus;Malpighian glomerulus;Malpighian tuft;renal corpuscle;renal glomeruli"
UBERON:0000075,subdivision of skeletal system,"skeletal system part;skeletal system subdivision"
UBERON:0000076,external ectoderm,"surface (external) ectoderm;surface ectoderm"
UBERON:0000077,mixed endoderm/mesoderm-derived structure,""
UBERON:0000078,mixed ectoderm/mesoderm/endoderm-derived structure,""
UBERON:0000079,male reproductive system,"genitalia of male organism;male genital organ;male genital system;male genital tract;male genitalia;male genitals;male organism genitalia;male organism reproductive system;male reproductive tract;reproductive system of male organism;systema genitale masculinum"
UBERON:0000080,mesonephros,"amphibian adult kidney;corpus Wolffi;mesonephric kidney;mesonephroi;middle kidney;opisthonephros;opisto nephros;opistonephros;Wolffian body"
UBERON:0000081,metanephros,"definite kidney;definitive kidney;hind kidney;metanephric kidney;metanephron"
UBERON:0000082,adult mammalian kidney,""
UBERON:0000083,mesonephric tubule,"renal tubules;tubuli mesonephrici"
UBERON:0000084,ureteric bud,"diverticulum;diverticulum metanephricum;gemma ureterica;metanephric bud;metanephric diverticulum;ureteric ampulla;ureteric diverticulum"
UBERON:0000085,morula,"morula (2-16 cells)"
UBERON:0000086,zona pellucida,"oolemma;pellucid zone;striated membrane;vitelline envelope;vitelline membrane;zona pellucida - vitelline membrane;zona radiata;zona striata"
UBERON:0000087,inner cell mass,"early embryoblast;embryoblast;embryoblastus; massa cellularis interna; pluriblastus senior;ICM;pluriblast"
UBERON:0000088,trophoblast,"massa cellularis externa;trophoblast layer;trophoblastus;trophoderm"
UBERON:0000089,hypoblast (generic),"endomesoderm;future endoderm and mesoderm;hypoblast;hypoblastus;mesendoderm"
UBERON:0000090,blastocele,"blastocelic cavity;blastocoel;blastocoele;blastocoelic cavity;blastocyst cavity;cleavage cavity;segmentation cavity"
UBERON:0000091,bilaminar disc,"bilaminar disk;bilaminary embryonic disc;bilaminary germ disc;embryonic disc;embryonic shield;germinal disc;germinal disk"
UBERON:0000092,post-embryonic stage,"post-hatching stage;postembryonic;postembryonic stage"
UBERON:0000093,sulcus,""
UBERON:0000094,membrane organ,"membrane;membrane of organ"
UBERON:0000095,cardiac neural crest,"cardiac neural crest complex;complexus cristae neuralis cardiacus"
UBERON:0000100,blastopore,""
UBERON:0000101,lobe of lung,"lung lobe;pulminory lobe;pulmonary lobe"
UBERON:0000102,lung vasculature,"lung vascular network;pulmonary vasculature;vascular network of lung;vasculature of lung"
UBERON:0000103,obsolete life cycle stage boundary,"life cycle stage transition event;life cycle stage transition instant"
UBERON:0000104,life cycle,"entire life cycle;entire lifespan;life;lifespan"
UBERON:0000105,life cycle stage,"developmental stage;stage"
UBERON:0000106,zygote stage,"1-cell stage;fertilized egg stage;fertilized egg stage;one cell stage;one-cell stage;zygote;zygotum"
UBERON:0000107,cleavage stage,""
UBERON:0000108,blastula stage,""
UBERON:0000109,gastrula stage,"blastocystis trilaminaris stage;trilaminar blastocyst stage;trilaminar blastoderm stage;trilaminar disk stage;trilaminar germ stage;trilaminar stage"
UBERON:0000110,neurula stage,""
UBERON:0000111,organogenesis stage,"segmentation stage"
UBERON:0000112,sexually immature stage,"immature stage;juvenile stage;subadult stage"
UBERON:0000113,post-juvenile adult stage,"adult stage"
UBERON:0000114,lung connective tissue,"connective tissue of lung;lung interstitial tissue;lung interstitium;pulmonary connective tissue;pulmonary interstitial tissue;pulmonary interstitium"
UBERON:0000115,lung epithelium,"epithelial tissue of lung;epithelium of lung;lung epithelial tissue;pulmonary epithelium"
UBERON:0000116,lung saccule,""
UBERON:0000117,respiratory tube,"airway;respiratory conducting tube;segment of tracheobronchial tree;segment of tracheobronchial tree;tracheobronchial tree segment"
UBERON:0000118,lung bud,"gemma pulmonalis;gemma respiratoria;lung bud;primary lung bud;respiratory diverticulum"
UBERON:0000119,cell layer,"cell sheath;layer;layer of cells;sheath of cells"
UBERON:0000120,blood brain barrier,"BBB;blood-brain barrier"
UBERON:0000121,perineurium,""
UBERON:0000122,neuron projection bundle,"funiculus;nerve fiber bundle;neural fiber bundle"
UBERON:0000123,endoneurium,""
UBERON:0000124,epineurium,""
UBERON:0000125,neural nucleus,"nervous system nucleus;neuraxis nucleus;neuronal nucleus;nucleus;nucleus of CNS;nucleus of neuraxis"
UBERON:0000126,cranial nerve nucleus,"cranial neural nucleus;nucleus nervi cranialis;nucleus of cranial nerve"
UBERON:0000127,facial nucleus,"facial nerve nucleus;facial VII motor nucleus;facial VII nucleus;nucleus of facial nerve"
UBERON:0000128,olivary body,"oliva;olivary nucleus;olive;olive body"
UBERON:0000130,transverse foramen,"foramen transversarium;foramen transversarium;foramen transversarium of cervical vertebra;foramen transversarium vertebrae cervicales;transverse foramen of cervical vertebra"
UBERON:0000144,trochlea of humerus,"humeral trochlea;trochlea humeri"
UBERON:0000151,pectoral fin,"forefin;pectoral fins"
UBERON:0000152,pelvic fin,"pelvic fins"
UBERON:0000153,anterior region of body,""
UBERON:0000154,posterior region of body,""
UBERON:0000155,theca cell layer,"layer of theca cells;ovarian theca;ovary theca;theca cell layer of ovarian follicle;theca folliculi;theca of follicle;thecal cell layer;thecal cell layers"
UBERON:0000156,theca externa,"external coat of theca folliculi;ovary theca externa;theca externa (folliculus ovaricus tertiarius);tunica externa of theca folliculi;tunica externa thecae folliculi"
UBERON:0000157,theca interna,"internal coat of capsule of Graafian follicle;ovary theca interna;theca interna (folliculus ovaricus tertiarius);tunica interna of theca folliculi;tunica interna thecae folliculi"
UBERON:0000158,membranous layer,"membrane;membranous organ component"
UBERON:0000159,anal canal,"anal canal;anal canal viewed anatomically;anal pad;anatomical anal canal;anus;canalis analis;cloaca;cloacal chamber;mesenteron;pars analis recti"
UBERON:0000160,intestine,"bowel;intestinal tract"
UBERON:0000161,orifice,"anatomical orifice;anatomical ostium;hilum;ostium"
UBERON:0000162,cloaca,"cloacal chamber;vent"
UBERON:0000163,embryonic cloaca,"cloaca"
UBERON:0000164,primitive urogenital sinus,"fetal UGS;sinus urogenitalis;UGS;urogenital sinus"
UBERON:0000165,mouth,"adult mouth;cavital oralis;cavitas oris;cavum oris;mouth cavity;oral region;oral vestibule;regio oralis;rima oris;stoma;stomatodaeum;trophic apparatus;vestibule of mouth;vestibulum oris"
UBERON:0000166,oral opening,"mouth;oral fissure;oral orifice;oral part of face"
UBERON:0000167,oral cavity,"bucca;buccal cavity;cavity of mouth"
UBERON:0000168,proximal-distal subdivision of colon,"segment of colon"
UBERON:0000170,pair of lungs,"lungs;lungs pair;pulmones;set of lungs"
UBERON:0000171,respiration organ,"apparatus respiratorius organ;breathing organ;gas exchange organ;organ of apparatus respiratorius;organ of respiratory system;respiratory organ;respiratory system organ"
UBERON:0000172,vomit,"vomitus"
UBERON:0000173,amniotic fluid,"acqua amnii;liquor amnii"
UBERON:0000174,excreta,"excreted substance;excretion;portion of excreted substance;waste substance"
UBERON:0000175,pleural effusion,""
UBERON:0000176,oronasal secretion,"oronasal discharge"
UBERON:0000177,pus,"purulent exudate"
UBERON:0000178,blood,"portion of blood;vertebrate blood;whole blood"
UBERON:0000179,haemolymphatic fluid,"blood or blood analog;circulating fluid"
UBERON:0000180,lateral lumbar region of abdomen,"flank;lateral region;lateral region of abdomen;latus;regio lateralis"
UBERON:0000199,neck of radius,"collum radii;radial neck"
UBERON:0000200,gyrus,"cerebral gyrus;folia;folium;folium of brain;gyri;gyri of cerebrum;gyrus of cerebral hemisphere;gyrus of cerebrum;gyrus of neuraxis;neuraxis gyrus"
UBERON:0000201,endothelial blood brain barrier,""
UBERON:0000202,glial blood brain barrier,""
UBERON:0000203,pallium,"area dorsalis telencephali;dorsal part of telencephalon;dorsal telencephalic area;dorsal telencephalon"
UBERON:0000204,ventral part of telencephalon,"area ventralis telencephali;subpallium;subpallium;ventral telencephalon"
UBERON:0000205,papula,"papulae;papulli"
UBERON:0000206,pharyngeal gill,""
UBERON:0000207,compound eye corneal lens,"acellular lens"
UBERON:0000208,obsolete cellular lens,""
UBERON:0000209,tetrapod frontal bone,"frontal;frontal bone;os frontal;os frontale"
UBERON:0000210,tetrapod parietal bone,"actinopterygian frontal bone;frontal bone;os parietale;parietal;parietal bone"
UBERON:0000211,ligament,"ligament organ"
UBERON:0000212,toilet claw,""
UBERON:0000218,vertebral arch of axis,"vertebral foramen of cervical vertebra 2"
UBERON:0000219,vertebral foramen of atlas,"vertebral foramen of cervical vertebra 1"
UBERON:0000220,atlanto-occipital joint,"articulatio atlanto-occipitalis;articulatio atlantooccipitalis;atlanto occipital joint;atlantooccipital joint;craniovertebral joint;occipito atlantal joint;occipito-atlantal joint"
UBERON:0000221,supraauricular point,"supra-auricular part of head"
UBERON:0000301,amniotic cavity,"cavitas amniotica"
UBERON:0000303,adductor longus,"adductor longus muscle;long adductor muscle;musculus adductor longus"
UBERON:0000304,tendon sheath,"synovial tendon sheath;vagina tendinis"
UBERON:0000305,amnion,"amnios"
UBERON:0000307,blastula,"blastosphere;blastula embryo"
UBERON:0000309,body wall,"trunk wall;wall fo trunk;wall of trunk"
UBERON:0000310,breast,"mamma;mammary part of chest;mammary region"
UBERON:0000311,extensor muscle,"extensor"
UBERON:0000312,inner cambium layer of periosteum,"cambial layer;cambial layer of periosteum;cambium;cambium layer of periosteum;inner cambial layer of periosteum;internal layer of periosteum;internal periosteum;osteogenic layer of periosteum"
UBERON:0000313,portion of cartilage tissue in tibia,"cartilage of tibia;tibial cartilage"
UBERON:0000314,cecum mucosa,"caecum mucosa;caecum mucosa of organ;caecum mucous membrane;caecum organ mucosa;cecal mucosa;cecum mucosa of organ;cecum mucous membrane;cecum organ mucosa;intestinum crassum caecum mucosa;intestinum crassum caecum mucosa of organ;intestinum crassum caecum mucous membrane;intestinum crassum caecum organ mucosa;mucosa of caecum;mucosa of cecum;mucosa of intestinum crassum caecum;mucosa of organ of caecum;mucosa of organ of cecum;mucosa of organ of intestinum crassum caecum;mucous membrane of caecum;mucous membrane of cecum;mucous membrane of intestinum crassum caecum;organ mucosa of caecum;organ mucosa of cecum;organ mucosa of intestinum crassum caecum"
UBERON:0000315,subarachnoid space,"cavitas subarachnoidea;cavum subarachnoideale;spatium leptomeningeum;spatium subarachnoideum;subarachnoid cavity;subarachnoid space of central nervous system;subarachnoid space of CNS;subarachnoid space of neuraxis"
UBERON:0000316,cervical mucus,"cervix mucus"
UBERON:0000317,colonic mucosa,"colon mucosa;colon mucous membrane;colonic mucosa;colonic mucous membrane;large bowel mucosa;mucosa of colon;mucosa of large bowel"
UBERON:0000319,cytotrophoblast,"cellular trophoblast;cytotrophoblastic cell;cytotrophoblastic cell layer;cytotrophoblastus;Langhans' layer;layer of Langhans"
UBERON:0000320,duodenal mucosa,"doudenal mucosa;duodenal mucous membrane;duodenum mucosa;mucosa of duodenum;mucous membrane of duodenum"
UBERON:0000323,late embryo,"embryo late growth stage;embryo late stage;fetus"
UBERON:0000325,gastric gland,""
UBERON:0000326,pancreatic juice,"pancreatic fluid;pancreatic secretion;succus pancreaticus"
UBERON:0000328,gut wall,"digestive tract wall;wall of alimentary tract;wall of digestive tract;wall of gut"
UBERON:0000329,hair root,"root of hair"
UBERON:0000331,ileal mucosa,"ileal mucous membrane;ileum mucosa;ileum mucosa of organ;ileum mucous membrane;ileum organ mucosa;mucosa of ileum;mucosa of organ of ileum;mucous membrane of ileum;organ mucosa of ileum"
UBERON:0000332,yellow bone marrow,"fat marrow;medulla ossium flava;yellow marrow"
UBERON:0000333,intestinal gland,"bowel mucosa gland;bowel mucosa of organ gland;bowel mucous membrane gland;bowel organ mucosa gland;gland of bowel mucosa;gland of bowel mucosa of organ;gland of bowel mucous membrane;gland of bowel organ mucosa;gland of intestinal mucosa;gland of intestine mucosa;gland of intestine mucosa of organ;gland of intestine mucous membrane;gland of intestine organ mucosa;gland of mucosa of bowel;gland of mucosa of intestine;gland of mucosa of organ of bowel;gland of mucosa of organ of intestine;gland of mucous membrane of bowel;gland of mucous membrane of intestine;gland of organ mucosa of bowel;gland of organ mucosa of intestine;glandula intestinalis;glandulae intestinales;intestinal mucosa gland;intestine mucosa gland;intestine mucosa of organ gland;intestine mucous membrane gland;intestine organ mucosa gland;mucosa of bowel gland;mucosa of intestine gland;mucosa of organ of bowel gland;mucosa of organ of intestine gland;mucous membrane of bowel gland;mucous membrane of intestine gland;organ mucosa of bowel gland;organ mucosa of intestine gland"
UBERON:0000341,throat,"gula"
UBERON:0000344,mucosa,"mucosa of organ;mucosa of organ part;mucosal region;mucous membrane;organ mucosa;region of mucosa;tunica mucosa"
UBERON:0000345,myelin,""
UBERON:0000346,obsolete myelin membrane,"myelinated plasma membrane of Schwann cell"
UBERON:0000347,entire myelin sheath,"medullary sheath"
UBERON:0000348,ophthalmic nerve,"ciliary nerve;cranial nerve V, branch V1;ethmoidal nerve;first branch of fifth cranial nerve;first division of fifth cranial nerve;first division of trigeminal nerve;nervus ophthalmicus (V1);nervus ophthalmicus (Va);nervus ophthalmicus [v1];nervus ophthalmicus [va];ophthalmic division;ophthalmic division [V1];ophthalmic division [Va];ophthalmic division of fifth cranial nerve;ophthalmic division of trigeminal nerve (V1);ophthalmic division of trigeminal nerve (Va);ophthalmic nerve [V1];ophthalmic nerve [Va];opthalmic nerve;profundal nerve;profundus;profundus nerve;ramus opthalmicus profundus (ramus V1);rostral branch of trigeminal nerve;trigeminal nerve ophthalmic division;trigeminal V nerve ophthalmic division"
UBERON:0000349,limbic system,"visceral brain"
UBERON:0000351,nuchal ligament,"ligament of neck;ligamentum nuchae;paddywhack;paxwax"
UBERON:0000353,parenchyma,""
UBERON:0000355,pharyngeal mucosa,"mucosa of organ of pharynx;mucosa of pharynx;mucous membrane of pharynx;mucous membrane of the pharynx;organ mucosa of pharynx;pharynx mucosa;pharynx mucosa of organ;pharynx mucous membrane;pharynx organ mucosa;tunica mucosa pharyngea;tunica mucosa pharyngis"
UBERON:0000358,blastocyst,"blastocystis;blastula"
UBERON:0000359,preputial gland,"clitoral/preputial gland;glandulae preputiales;preputial glands;preputial glands set"
UBERON:0000360,obsolete rectal gland,""
UBERON:0000361,red bone marrow,"medulla ossium rubra;parenchyma of none marrow marrow;parenchymal red marrow;red marrow"
UBERON:0000362,renal medulla,"kidney medulla;medulla of kidney;medulla renalis;medullary pyramids;pyramides renales;renal marrow;renal medullae;renal medullae set;renal pyramids;renal pyramids set"
UBERON:0000363,reticuloendothelial system,"lymphoreticular;lymphoreticular system;mononuclear phagocyte system;RES;reticuloendothelial system"
UBERON:0000364,obsolete rootlet,"fila radicularia;Rootlets;Rootlets set"
UBERON:0000365,urothelium,"epithelium transitionale;transitional epithelium;transitional epithelium;uroepithelium"
UBERON:0000366,flexor muscle,"flexor"
UBERON:0000368,adductor brevis,"adductor brevis muscle;musculus adductos brevis"
UBERON:0000369,corpus striatum,"striate body;striated body"
UBERON:0000370,adductor magnus,"adductor magnus muscle;musculus adductor magnus"
UBERON:0000371,syncytiotrophoblast,"syncitiotrophoblast;syncitiotrophoblastus;syncytial trophoblast;syntrophoblast;syntrophoblast layer"
UBERON:0000372,extensor digitorum brevis pes,"extensor digitorum brevis;extensor digitorum brevis muscle;musculus extensor digitorum brevis"
UBERON:0000373,tapetum of corpus callosum,"tapetum;tapetum corporis callosi"
UBERON:0000375,mandibular nerve,"inferior maxillary nerve;mandibular division [V3];mandibular division [Vc];mandibular division of fifth cranial nerve;mandibular division of trigeminal nerve [Vc; V3];mandibular nerve [V3];mandibular nerve [Vc];n. mandibularis;nervus mandibularis;nervus mandibularis [v3];nervus mandibularis [Vc; V3];nervus mandibularis [vc];ramus mandibularis (ramus V3);third division of fifth cranial nerve;third division of trigeminal nerve;trigeminal nerve mandibular division;trigeminal V nerve mandibular division"
UBERON:0000376,hindlimb stylopod,"femur;hind limb stylopod;hind limb stylopodium;hind propodium;hindlimb propodium;hindlimb stylopod;hindlimb stylopodium;proximal segment of free lower limb;stylopod of hind limb;stylopod of hindlimb;stylopod of lower limb;thigh;upper leg"
UBERON:0000377,maxillary nerve,"maxillary division [V2];maxillary division [Vb];maxillary division of fifth cranial nerve;maxillary division of trigeminal nerve (Vb; V2);maxillary nerve [V2];maxillary nerve [Vb];n. maxillaris;nervus maxillaris;nervus maxillaris (Vb; V2);nervus maxillaris [v2];nervus maxillaris [vb];ramus maxillaris (ramus V2);second division of fifth cranial nerve;second division of trigeminal nerve;trigeminal nerve maxillary division;trigeminal V nerve maxillary division"
UBERON:0000378,tongue muscle,"muscle of tongue;muscle organ of tongue;musculi linguae;skeletal muscle tissue of tongue;tongue skeletal muscle;tongue skeletal muscle tissue"
UBERON:0000379,tracheal mucosa,"mucosa of organ of trachea;mucosa of organ of windpipe;mucosa of trachea;mucosa of windpipe;mucous membrane of trachea;mucous membrane of windpipe;organ mucosa of trachea;organ mucosa of windpipe;trachea mucosa;trachea mucosa of organ;trachea mucous membrane;trachea organ mucosa;tracheal mucous membrane;tunica mucosa (tracheae);tunica mucosa tracheae;windpipe mucosa;windpipe mucosa of organ;windpipe mucous membrane;windpipe organ mucosa"
UBERON:0000380,obsolete tuber,""
UBERON:0000381,urinary bladder detrusor smooth muscle,"detrusor;detrusor muscle;detrusor muscle of bladder;detrusor smooth muscle;detrusor urinae muscle;muscularis propria;muscularis propria of the urinary bladder;musculus detrusor vesicae;musculus detrusor vesicae urinariae;urinary bladder detrusor muscle;urinary bladder detrussor smooth muscle"
UBERON:0000382,apocrine sweat gland,"glandula sudorifera apocrina"
UBERON:0000383,musculature of body,"muscle system;muscle system of body;muscular system;musculature system;muskelsystem;set of all muscles;set of muscles of body;vertebrate muscular system"
UBERON:0000385,obsolete labial gland,"glandulae labiales;Labial glands;Labial glands set"
UBERON:0000387,meniscus,"articular disc"
UBERON:0000388,epiglottis,""
UBERON:0000389,lens cortex,"cortex of lens"
UBERON:0000390,lens nucleus,"nucleus of lens"
UBERON:0000391,leptomeninx,"arachnoid mater and pia mater;arachnoidea mater et pia mater;leptomeninges;pia-arachnoid;pia-arachnoid of neuraxis"
UBERON:0000392,longissimus muscle,"intermediate column of erector spinae;longissimus;musculus longissimus"
UBERON:0000395,cochlear ganglion,"cochlear part of vestibulocochlear ganglion;Corti's ganglion;ganglion cochlearis;ganglion of Corti;ganglion spirale;ganglion spirale cochleae;spiral ganglion;spiral ganglion of cochlea;vestibulocochlear ganglion cochlear component;vestibulocochlear VIII ganglion cochlear component"
UBERON:0000396,vallate papilla,"circumvallate papilla;circumvallate papilla of tongue;circumvallate papillae;papilla vallatae;vallate papilla of tongue"
UBERON:0000397,colonic epithelium,"colon epithelial tissue;colon epithelium;epithelial tissue of colon;epithelial tissue of large bowel;epithelium of colon;epithelium of large bowel;large bowel epithelial tissue;large bowel epithelium;posterior intestine epithelium"
UBERON:0000398,cartilage tissue of sternum,"cartilage of sternum"
UBERON:0000399,jejunal mucosa,"jejunal mucous membrane;jejunum mucosa;jejunum mucosa of organ;jejunum mucous membrane;jejunum organ mucosa;mucosa of jejunum;mucosa of organ of jejunum;mucous membrane of jejunum;organ mucosa of jejunum"
UBERON:0000400,jejunal epithelium,"epithelium of jejunum"
UBERON:0000401,mandibular ramus,"lower ramus;mandible ramus;rami mandibulae;ramus mandibulae;ramus of mandible"
UBERON:0000402,nasal vestibule,"vestibular part of nasal cavity;vestibulum nasale;vestibulum nasi"
UBERON:0000403,scalp,"scalpus"
UBERON:0000407,sympathetic trunk,"gangliated cord;sympathetic chain;sympathetic ganglionic chain;truncus sympathicus"
UBERON:0000408,vertebral ganglion,"intermediate ganglion"
UBERON:0000409,serous gland,""
UBERON:0000410,bronchial mucosa,"bronchi mucosa;bronchi mucosa of organ;bronchi mucous membrane;bronchi organ mucosa;bronchial trunk mucosa;bronchial trunk mucosa of organ;bronchial trunk mucous membrane;bronchial trunk organ mucosa;bronchus mucosa;bronchus mucosa of organ;bronchus mucous membrane;bronchus organ mucosa;mucosa of bronchi;mucosa of bronchial trunk;mucosa of bronchus;mucosa of organ of bronchi;mucosa of organ of bronchial trunk;mucosa of organ of bronchus;mucous membrane of bronchi;mucous membrane of bronchial trunk;mucous membrane of bronchus;organ mucosa of bronchi;organ mucosa of bronchial trunk;organ mucosa of bronchus;tunica mucosa bronchi"
UBERON:0000411,visual cortex,"higher-order visual cortex;visual areas"
UBERON:0000412,dermal papilla,"dermal papilla cell;dermal papillae;follicular papilla;hair follicle dermal papilla;hair papilla;papilla corii;papilla dermatis;papilla dermis;papilla of corium;papillae dermis;skin papilla"
UBERON:0000414,mucous gland,"glandula mucosa;muciparous gland;mucous secreting gland;mucus gland;mucus-secreting gland"
UBERON:0000415,artery wall,"arterial wall;wall of artery"
UBERON:0000416,subdural space,"cavum subdurale;spatium subdurale;subdural cavity;subdural cleavage;subdural cleft"
UBERON:0000418,obsolete tubercle,""
UBERON:0000420,myoepithelium,"myo-epithelium;myoepitheliocytus"
