run_accession,tissue_lib,cell_line,cell_type,tissue_type,Gtex
SRR6256345,,,,normal adjacent tissue,Bladder
SRR6256347,,,,normal adjacent tissue,Bladder
SRR6256343,,,,normal adjacent tissue,Bladder
SRR6256339,,,,normal adjacent tissue,Bladder
SRR6256341,,,,normal adjacent tissue,Bladder
SRR16328465,,,,adjacent tissue,Bladder
SRR16328463,,,,adjacent tissue,Bladder
SRR16328467,,,,adjacent tissue,Bladder
SRR22532364,,,,,Blood - Granulocyte
SRR22532365,,,,,Blood - Granulocyte
SRR22532370,,,,,Blood - Granulocyte
SRR22532378,,,,,Blood - Granulocyte
SRR22532381,,,,,Blood - Granulocyte
SRR22532387,,,,,Blood - Granulocyte
SRR22532390,,,,,Blood - Granulocyte
SRR22532391,,,,,Blood - Granulocyte
SRR22532393,,,,,Blood - Granulocyte
SRR22532394,,,,,Blood - Granulocyte
SRR22532396,,,,,Blood - Granulocyte
SRR22532397,,,,,Blood - Granulocyte
SRR22532398,,,,,Blood - Granulocyte
SRR22532367,,,,,Blood - Granulocyte
SRR22532369,,,,,Blood - Granulocyte
SRR22532372,,,,,Blood - Granulocyte
SRR22532380,,,,,Blood - Granulocyte
SRR22532384,,,,,Blood - Granulocyte
SRR22532385,,,,,Blood - Granulocyte
SRR22532392,,,,,Blood - Granulocyte
SRR22532366,,,,,Blood - Granulocyte
SRR22532368,,,,,Blood - Granulocyte
SRR22532371,,,,,Blood - Granulocyte
SRR22532373,,,,,Blood - Granulocyte
SRR22532374,,,,,Blood - Granulocyte
SRR22532375,,,,,Blood - Granulocyte
SRR22532376,,,,,Blood - Granulocyte
SRR22532377,,,,,Blood - Granulocyte
SRR22532379,,,,,Blood - Granulocyte
SRR22532382,,,,,Blood - Granulocyte
SRR22532383,,,,,Blood - Granulocyte
SRR22532386,,,,,Blood - Granulocyte
SRR22532388,,,,,Blood - Granulocyte
SRR22532389,,,,,Blood - Granulocyte
SRR22532395,,,,,Blood - Granulocyte
SRR22302246,,,Monocyte-derived macrophages,,Blood - Marcophage
SRR22302249,,,Monocyte-derived macrophages,,Blood - Marcophage
SRR22302243,,,Monocyte-derived macrophages,,Blood - Marcophage
SRR22302252,,,Monocyte-derived macrophages,,Blood - Marcophage
SRR22478856,,,PBMC,,Blood - Peripheral Blood Mononuclear Cell
SRR22478860,,,PBMC,,Blood - Peripheral Blood Mononuclear Cell
SRR22478862,,,PBMC,,Blood - Peripheral Blood Mononuclear Cell
SRR22478863,,,PBMC,,Blood - Peripheral Blood Mononuclear Cell
SRR22478864,,,PBMC,,Blood - Peripheral Blood Mononuclear Cell
SRR22478855,,,PBMC,,Blood - Peripheral Blood Mononuclear Cell
SRR22478858,,,PBMC,,Blood - Peripheral Blood Mononuclear Cell
SRR22478861,,,PBMC,,Blood - Peripheral Blood Mononuclear Cell
SRR22478857,,,PBMC,,Blood - Peripheral Blood Mononuclear Cell
SRR22478859,,,PBMC,,Blood - Peripheral Blood Mononuclear Cell
SRR7094252,,,,,Blood - Whole blood
SRR7094257,,,,,Blood - Whole blood
SRR7094262,,,,,Blood - Whole blood
SRR7094264,,,,,Blood - Whole blood
SRR7094265,,,,,Blood - Whole blood
SRR7094267,,,,,Blood - Whole blood
SRR7094268,,,,,Blood - Whole blood
SRR7094270,,,,,Blood - Whole blood
SRR7094273,,,,,Blood - Whole blood
SRR7094281,,,,,Blood - Whole blood
SRR7094289,,,,,Blood - Whole blood
SRR7094291,,,,,Blood - Whole blood
SRR7094292,,,,,Blood - Whole blood
SRR7094298,,,,,Blood - Whole blood
SRR7094300,,,,,Blood - Whole blood
SRR7094302,,,,,Blood - Whole blood
SRR7094305,,,,,Blood - Whole blood
SRR7094309,,,,,Blood - Whole blood
SRR7094313,,,,,Blood - Whole blood
SRR7094314,,,,,Blood - Whole blood
SRR7094253,,,,,Blood - Whole blood
SRR7094255,,,,,Blood - Whole blood
SRR7094258,,,,,Blood - Whole blood
SRR7094274,,,,,Blood - Whole blood
SRR7094278,,,,,Blood - Whole blood
SRR7094282,,,,,Blood - Whole blood
SRR7094283,,,,,Blood - Whole blood
SRR7094284,,,,,Blood - Whole blood
SRR7094287,,,,,Blood - Whole blood
SRR7094290,,,,,Blood - Whole blood
SRR7094294,,,,,Blood - Whole blood
SRR7094295,,,,,Blood - Whole blood
SRR7094296,,,,,Blood - Whole blood
SRR7094303,,,,,Blood - Whole blood
SRR7094304,,,,,Blood - Whole blood
SRR7094310,,,,,Blood - Whole blood
SRR7094315,,,,,Blood - Whole blood
SRR7094256,,,,,Blood - Whole blood
SRR7094259,,,,,Blood - Whole blood
SRR7094260,,,,,Blood - Whole blood
SRR7094272,,,,,Blood - Whole blood
SRR7094285,,,,,Blood - Whole blood
SRR7094286,,,,,Blood - Whole blood
SRR7094254,,,,,Blood - Whole blood
SRR7094261,,,,,Blood - Whole blood
SRR7094269,,,,,Blood - Whole blood
SRR7094271,,,,,Blood - Whole blood
SRR7094276,,,,,Blood - Whole blood
SRR7094288,,,,,Blood - Whole blood
SRR7094293,,,,,Blood - Whole blood
SRR7094299,,,,,Blood - Whole blood
SRR7094301,,,,,Blood - Whole blood
SRR7094311,,,,,Blood - Whole blood
SRR7094307,,,,,Blood - Whole blood
SRR7094263,,,,,Blood - Whole blood
SRR7094266,,,,,Blood - Whole blood
SRR7094275,,,,,Blood - Whole blood
SRR7094277,,,,,Blood - Whole blood
SRR7094279,,,,,Blood - Whole blood
SRR7094280,,,,,Blood - Whole blood
SRR7094297,,,,,Blood - Whole blood
SRR7094306,,,,,Blood - Whole blood
SRR7094308,,,,,Blood - Whole blood
SRR7094312,,,,,Blood - Whole blood
SRR22283222,,,,Whole blood,Blood - Whole Blood
SRR22283231,,,,Whole blood,Blood - Whole Blood
SRR22283232,,,,Whole blood,Blood - Whole Blood
SRR22283233,,,,Whole blood,Blood - Whole Blood
SRR22283234,,,,Whole blood,Blood - Whole Blood
SRR22283235,,,,Whole blood,Blood - Whole Blood
SRR22283236,,,,Whole blood,Blood - Whole Blood
SRR22283237,,,,Whole blood,Blood - Whole Blood
SRR22283238,,,,Whole blood,Blood - Whole Blood
SRR22283239,,,,Whole blood,Blood - Whole Blood
SRR22283240,,,,Whole blood,Blood - Whole Blood
SRR22283223,,,,Whole blood,Blood - Whole Blood
SRR22283241,,,,Whole blood,Blood - Whole Blood
SRR22283242,,,,Whole blood,Blood - Whole Blood
SRR22283243,,,,Whole blood,Blood - Whole Blood
SRR22283244,,,,Whole blood,Blood - Whole Blood
SRR22283245,,,,Whole blood,Blood - Whole Blood
SRR22283246,,,,Whole blood,Blood - Whole Blood
SRR22283247,,,,Whole blood,Blood - Whole Blood
SRR22283248,,,,Whole blood,Blood - Whole Blood
SRR22283249,,,,Whole blood,Blood - Whole Blood
SRR22283250,,,,Whole blood,Blood - Whole Blood
SRR22283224,,,,Whole blood,Blood - Whole Blood
SRR22283251,,,,Whole blood,Blood - Whole Blood
SRR22283252,,,,Whole blood,Blood - Whole Blood
SRR22283253,,,,Whole blood,Blood - Whole Blood
SRR22283254,,,,Whole blood,Blood - Whole Blood
SRR22283255,,,,Whole blood,Blood - Whole Blood
SRR22283256,,,,Whole blood,Blood - Whole Blood
SRR22283257,,,,Whole blood,Blood - Whole Blood
SRR22283258,,,,Whole blood,Blood - Whole Blood
SRR22283259,,,,Whole blood,Blood - Whole Blood
SRR22283260,,,,Whole blood,Blood - Whole Blood
SRR22283225,,,,Whole blood,Blood - Whole Blood
SRR22283261,,,,Whole blood,Blood - Whole Blood
SRR22283262,,,,Whole blood,Blood - Whole Blood
SRR22283263,,,,Whole blood,Blood - Whole Blood
SRR22283264,,,,Whole blood,Blood - Whole Blood
SRR22283265,,,,Whole blood,Blood - Whole Blood
SRR22283266,,,,Whole blood,Blood - Whole Blood
SRR22283267,,,,Whole blood,Blood - Whole Blood
SRR22283268,,,,Whole blood,Blood - Whole Blood
SRR22283269,,,,Whole blood,Blood - Whole Blood
SRR22283270,,,,Whole blood,Blood - Whole Blood
SRR22283226,,,,Whole blood,Blood - Whole Blood
SRR22283271,,,,Whole blood,Blood - Whole Blood
SRR22283272,,,,Whole blood,Blood - Whole Blood
SRR22283273,,,,Whole blood,Blood - Whole Blood
SRR22283274,,,,Whole blood,Blood - Whole Blood
SRR22283275,,,,Whole blood,Blood - Whole Blood
SRR22283276,,,,Whole blood,Blood - Whole Blood
SRR22283277,,,,Whole blood,Blood - Whole Blood
SRR22283278,,,,Whole blood,Blood - Whole Blood
SRR22283279,,,,Whole blood,Blood - Whole Blood
SRR22283280,,,,Whole blood,Blood - Whole Blood
SRR22283227,,,,Whole blood,Blood - Whole Blood
SRR22283281,,,,Whole blood,Blood - Whole Blood
SRR22283282,,,,Whole blood,Blood - Whole Blood
SRR22283283,,,,Whole blood,Blood - Whole Blood
SRR22283284,,,,Whole blood,Blood - Whole Blood
